Organization Group,Job,Total Compensation
Human Welfare & Neighborhood Development,Senior Eligibility Worker,44727.25
"Public Works, Transportation & Commerce",Automotive Machinist,21085.37
"Public Works, Transportation & Commerce",Project Manager 2,53020.0
Public Protection,Sr Public Defenders Invstgtor,143821.93
Community Health,Medical Evaluations Assistant,94908.44
Public Protection,District Attry's Investigator,159140.75
Community Health,Psychiatric Social Worker,107117.75
"Public Works, Transportation & Commerce",Transit Operator,126822.45
Community Health,Senior Physician Specialist,275792.5
Public Protection,Firefighter,181188.75
General Administration & Finance,IT Operations Support Admn III,33734.49
Human Welfare & Neighborhood Development,Sr Environmental Spec,120709.31
"Public Works, Transportation & Commerce",Transit Operator,105493.67
Public Protection,EMT/Paramedic/Firefighter,178067.94
"Public Works, Transportation & Commerce",Truck Driver,129329.57
"Public Works, Transportation & Commerce",Automotive Machinist,18631.35
"Public Works, Transportation & Commerce",Transit Manager 1,44933.34
Public Protection,Captain 3,265936.36
"Public Works, Transportation & Commerce",General Laborer Supervisor 1,96339.86
Public Protection,Attorney (Civil/Criminal),95906.15
Community Health,Special Nurse,70250.72
Community Health,Hospital Eligiblity Worker,89190.77
Public Protection,Sergeant 3,192002.36
Community Health,Eligibility Worker,102022.61
Human Welfare & Neighborhood Development,Clerk,54566.78
General Administration & Finance,Personnel Analyst,34380.26
Public Protection,Deputy Sheriff,180171.7
Human Welfare & Neighborhood Development,IS Business Analyst-Senior,30319.47
Culture & Recreation,Librarian 1,52292.04
Public Protection,"Lieutenant, Fire Suppression",198655.04
"Public Works, Transportation & Commerce",Utility Plumber Supervisor 2,226010.41
"Public Works, Transportation & Commerce",IS Business Analyst-Principal,70984.71
Culture & Recreation,Library Assistant,93450.73
"Public Works, Transportation & Commerce",School Crossing Guard,11367.33
Public Protection,EMT/Paramedic/Firefighter,75336.18
"Public Works, Transportation & Commerce",Employment & Training Spec 5,137858.42
General Administration & Finance,Custodian,76089.6
Community Health,Legal Process Clerk,88939.72
"Public Works, Transportation & Commerce",Building Plans Engineer,78859.43
Community Health,Pharmacist,161488.81
"Public Works, Transportation & Commerce",Transit Operator,115081.96
General Administration & Finance,Planner 4-Environmental Review,145421.76
Community Health,Senior Clerk,92003.38
Human Welfare & Neighborhood Development,Protective Services Worker,52426.9
"Public Works, Transportation & Commerce",Project Manager 1,172988.34
"Public Works, Transportation & Commerce",Pr Administrative Analyst,152595.41
Culture & Recreation,Library Technical Assistant 1,88815.31
Community Health,Senior Physician Specialist,301245.89
Culture & Recreation,Senior Account Clerk,16354.45
"Public Works, Transportation & Commerce",Publ Svc Aide-Asst To Prof,26093.63
Public Protection,Community Police Services Aide,105432.95
Public Protection,Public Relations Mgr,32322.51
Community Health,Patient Accounts Asst Sprv,115157.68
"Public Works, Transportation & Commerce",Transit Operator,121110.15
"Public Works, Transportation & Commerce",Engineer,177311.61
General Administration & Finance,Attorney (Civil/Criminal),206644.91
General Administration & Finance,IS Engineer-Senior,91055.92
"Public Works, Transportation & Commerce",Prnpl Admin Analyst II,106832.0
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,187524.52
Public Protection,Deputy Court Clerk I,41760.97
"Public Works, Transportation & Commerce",Transit Operations Specialist,44329.36
General Administration & Finance,Real Property Appraiser,125471.31
Public Protection,Senior Deputy Sheriff,248008.8
Community Health,Pharmacy Technician,95431.67
Public Protection,Police Officer 2,200491.65
"Public Works, Transportation & Commerce",Secretary 2,101227.22
Community Health,Medical Records Clerk,77621.3
Culture & Recreation,Recreation Coordinator,94395.74
Community Health,Account Clerk,22556.42
"Public Works, Transportation & Commerce",Account Clerk,31680.57
"Public Works, Transportation & Commerce",Junior Engineer,109430.18
"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,211025.85
"Public Works, Transportation & Commerce",Executive Secretary 1,33642.79
General Administration & Finance,Custodian,80519.82
Community Health,Physician Specialist,10376.46
Human Welfare & Neighborhood Development,Protective Services Worker,138739.07
"Public Works, Transportation & Commerce",Clerk,31332.46
Public Protection,EMT/Paramedic/Firefighter,271952.79
Culture & Recreation,Recreation Leader,16624.83
Public Protection,Deputy Sheriff,193391.91
Culture & Recreation,Library Page,13340.12
General Administration & Finance,"Manager,Employee Relations Div",108981.67
"Public Works, Transportation & Commerce",Water Service Inspector,176210.32
"Public Works, Transportation & Commerce",Transit Car Cleaner,99133.99
Human Welfare & Neighborhood Development,Senior Eligibility Worker,77394.23
Community Health,Environmental Hlth Tech 1,105644.56
Human Welfare & Neighborhood Development,Account Clerk,88075.81
General Administration & Finance,Benefits Analyst,102373.14
Public Protection,Police Officer,164016.67
Community Health,Accountant IV,157618.59
Human Welfare & Neighborhood Development,Publ Svc Aide-Asst To Prof,28220.2
"Public Works, Transportation & Commerce",Electrical Transit System Mech,60508.14
Community Health,Patient Care Assistant,76879.82
Community Health,Health Worker 3,99043.84
"Public Works, Transportation & Commerce",Transit Operator,106296.84
Public Protection,Police Officer,153443.23
Community Health,Nurse Practitioner,160304.27
Culture & Recreation,Curator 3,119218.16
"Public Works, Transportation & Commerce",Water Conservation Admin,175884.95
Community Health,Porter,35979.13
Community Health,Health Worker 3,99368.78
Public Protection,Community Police Services Aide,110124.48
"Public Works, Transportation & Commerce",Architectural Associate 2,196984.95
Public Protection,Firefighter,144295.86
Human Welfare & Neighborhood Development,Senior Eligibility Worker,98179.64
Public Protection,Deputy Sheriff 1,10986.29
"Public Works, Transportation & Commerce",Parking Control Officer,95051.0
Community Health,Special Nurse,41790.74
Public Protection,Institution Utility Worker,16404.88
Community Health,Medical Social Worker,125644.45
General Administration & Finance,Shelter Service Rep,76671.18
"Public Works, Transportation & Commerce",Junior Administrative Analyst,54626.07
"Public Works, Transportation & Commerce",Custodian,92437.85
Public Protection,Da Investigative Assist,111655.93
Community Health,Registered Nurse,47745.7
"Public Works, Transportation & Commerce",Transit Operator,111863.04
"Public Works, Transportation & Commerce",Transit Car Cleaner,140946.7
General Administration & Finance,Junior Management Assistant,40039.15
Community Health,Licensed Vocational Nurse,113024.14
"Public Works, Transportation & Commerce",Transit Operator,72616.41
"Public Works, Transportation & Commerce",Stationary Engineer,136087.43
Community Health,Occupational Therapist,129266.79
Community Health,Medical Records Technician,105179.2
"Public Works, Transportation & Commerce",Maintenance Machinist,28856.78
General Administration & Finance,Forensic Toxicologist,304303.11
"Public Works, Transportation & Commerce",Transit Operator,77514.12
Community Health,Central Processing & Dist Tech,117250.88
"Public Works, Transportation & Commerce",Transit Operator,78210.83
Public Protection,"Captain, Fire Suppression",215651.78
General Administration & Finance,Automotive Service Worker,88784.28
"Public Works, Transportation & Commerce","Manager VI, MTA",147979.44
Public Protection,Sergeant 3,222797.61
"Public Works, Transportation & Commerce",Pile Worker,131335.19
"Public Works, Transportation & Commerce",Watershed Keeper,98604.85
Community Health,Porter,89262.4
Public Protection,Police Cadet,17523.1
"Public Works, Transportation & Commerce",Transit Operator,79117.53
General Administration & Finance,Pr Administrative Analyst,163798.16
"Public Works, Transportation & Commerce",Manager II,186470.78
Human Welfare & Neighborhood Development,Social Worker,33199.44
"Public Works, Transportation & Commerce",Transit Operator,84920.18
General Administration & Finance,Asr-Office Assistant,35953.34
"Public Works, Transportation & Commerce",Asphalt Finisher,102534.04
Public Protection,Police Officer 2,177770.3
General Administration & Finance,Automotive Service Worker,96958.15
"Public Works, Transportation & Commerce",Transit Operator,121896.13
Community Health,Nurse Manager,240810.27
Public Protection,Stationary Engineer,21413.35
Community Health,Sr Environmental Hlth Insp,160388.39
Public Protection,EMT/Paramedic/Firefighter,235181.35
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,13342.41
Community Health,Registered Nurse,54306.69
Community Health,Nurse Practitioner,43300.48
Culture & Recreation,Park Section Supervisor,131858.17
"Public Works, Transportation & Commerce",Transit Operator,108493.87
Culture & Recreation,Library Page,35870.68
Public Protection,Deputy Sheriff,150181.5
Public Protection,Senior Deputy Sheriff,255236.09
Community Health,Patient Care Assistant,73227.67
"Public Works, Transportation & Commerce",Junior Management Assistant,103565.06
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",17411.06
"Public Works, Transportation & Commerce",Executive Secretary 1,108822.32
General Administration & Finance,Clerk,12985.69
"Public Works, Transportation & Commerce",Planner 1,97774.34
"Public Works, Transportation & Commerce",Train Controller,198828.19
"Public Works, Transportation & Commerce",IS Engineer-Journey,166511.59
"Public Works, Transportation & Commerce",Custodian,95383.77
"Public Works, Transportation & Commerce",Automotive Service Worker,86459.77
"Public Works, Transportation & Commerce",Pr Administrative Analyst,146453.99
Community Health,Physician Specialist,213124.7
Community Health,Registered Nurse,63928.8
"Public Works, Transportation & Commerce",Gardener,74802.9
Culture & Recreation,Manager II,13792.97
"Public Works, Transportation & Commerce",Transit Operator,105814.84
"Public Works, Transportation & Commerce",Automotive Machinist,97906.63
Community Health,Nurse Manager,256433.46
"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,211940.73
Public Protection,Police Officer 2,205891.64
General Administration & Finance,IS Business Analyst-Senior,156158.12
Community Health,Medical Social Worker,103564.29
"Public Works, Transportation & Commerce",Senior Const Inspector,158771.96
Community Health,Registered Nurse,144096.15
Community Health,Food Service Worker,83072.36
Public Protection,Police Officer,178692.77
Public Protection,Police Officer 2,130936.01
"Public Works, Transportation & Commerce",Transit Operator,109546.15
"Public Works, Transportation & Commerce",Gardener,102191.69
Community Health,Special Nurse,152756.11
Community Health,Senior Physician Specialist,311455.74
Community Health,Porter,64153.1
General Administration & Finance,Program Support Analyst,53515.37
Community Health,Registered Nurse,151257.59
"Public Works, Transportation & Commerce","Chf Stationary Eng, Sew Plant",179969.78
Community Health,Special Nurse,29146.52
Human Welfare & Neighborhood Development,Employment & Training Spec 5,143558.32
"Public Works, Transportation & Commerce",Transit Operator,125106.05
"Public Works, Transportation & Commerce",Senior Clerk,27073.64
General Administration & Finance,Testing Technician,12759.63
Public Protection,"Director, Human Resources",70806.78
Human Welfare & Neighborhood Development,Protective Services Worker,69206.14
Community Health,Special Nurse,58474.59
"Public Works, Transportation & Commerce",Sr Payroll & Personnel Clerk,110807.36
Human Welfare & Neighborhood Development,Child Support Officer II,97424.85
Culture & Recreation,Stage Electrician,13453.25
General Administration & Finance,Attorney (Civil/Criminal),246518.48
"Public Works, Transportation & Commerce",Transit Operator,121895.15
"Public Works, Transportation & Commerce",Transit Car Cleaner,82864.29
"Public Works, Transportation & Commerce",Transit Car Cleaner,93315.1
"Public Works, Transportation & Commerce",Transit Operator,81478.04
Human Welfare & Neighborhood Development,Dep Dir III,241744.03
"Public Works, Transportation & Commerce",General Laborer,114612.45
Human Welfare & Neighborhood Development,Senior Eligibility Worker,59544.86
Community Health,Senior Physician Specialist,265693.54
Human Welfare & Neighborhood Development,Sr Community Devl Spc 1,135838.94
Culture & Recreation,Cook,15454.46
Culture & Recreation,Public Service Trainee,10866.21
Human Welfare & Neighborhood Development,Principal Clerk,107959.42
"Public Works, Transportation & Commerce",Steamfitter,126640.24
Culture & Recreation,Library Assistant,32746.47
Community Health,Health Worker 3,96646.77
"Public Works, Transportation & Commerce",Transit Operator,71270.4
General Administration & Finance,Training Officer,130477.44
"Public Works, Transportation & Commerce",Senior Management Assistant,77879.54
General Administration & Finance,Senior Account Clerk,92791.19
"Public Works, Transportation & Commerce",Transit Operator,128071.67
"Public Works, Transportation & Commerce",Track Maintenance Worker,79654.16
Public Protection,Firefighter,143321.44
Community Health,Special Nurse,41473.12
"Public Works, Transportation & Commerce",Electr Maint Tech Asst Sprv,162049.46
"Public Works, Transportation & Commerce",Transit Operator,89500.0
Community Health,Registered Nurse,198790.29
"Public Works, Transportation & Commerce",Custodian,86767.79
Community Health,Home Health Aide,10515.05
Public Protection,"Captain, Fire Suppression",224035.6
"Public Works, Transportation & Commerce",Transit Operator,95771.93
Public Protection,EMT/Paramedic/Firefighter,247496.23
"Public Works, Transportation & Commerce",Automotive Machinist,125021.32
General Administration & Finance,Accountant IV,157986.69
Human Welfare & Neighborhood Development,Emp & Training Spec 2,73522.01
Human Welfare & Neighborhood Development,Senior Personnel Analyst,150652.65
Culture & Recreation,Truck Driver,135265.21
"Public Works, Transportation & Commerce",Transit Operator,74351.22
Culture & Recreation,Stationary Engineer,126497.12
Community Health,Registered Nurse,186425.58
"Public Works, Transportation & Commerce",Transit Car Cleaner Asst Sprv,122290.32
Human Welfare & Neighborhood Development,Protective Services Supervisor,177402.22
Community Health,Registered Nurse,171023.04
Human Welfare & Neighborhood Development,Public Service Trainee,18101.12
Culture & Recreation,Dept Head III,275122.65
Community Health,Manager III,139714.2
"Public Works, Transportation & Commerce",Transit Operator,116396.86
Community Health,Licensed Vocational Nurse,126007.09
Public Protection,Attorney (Civil/Criminal),120877.95
General Administration & Finance,Mayoral Staff IV,95881.82
"Public Works, Transportation & Commerce",Lighting Fixture Maint Worker,80521.4
"Public Works, Transportation & Commerce",Transit Operator,143671.64
"Public Works, Transportation & Commerce",Transit Supervisor,203171.31
General Administration & Finance,Public Service Trainee,24762.06
Culture & Recreation,Custodian,85948.95
Community Health,Medical Records Technician,34937.81
Human Welfare & Neighborhood Development,HSA Social Worker,117122.59
Public Protection,Firefighter,210772.93
"Public Works, Transportation & Commerce",Survey Assistant I,63425.54
Human Welfare & Neighborhood Development,Senior Personnel Analyst,26055.34
Human Welfare & Neighborhood Development,Emp & Training Spec 4,44004.72
Public Protection,Firefighter,172276.36
Public Protection,EMT/Paramedic/Firefighter,81769.64
"Public Works, Transportation & Commerce",Airport Property Specialist 1,137008.87
"Public Works, Transportation & Commerce",Water Qualitytech I/II,112389.65
"Public Works, Transportation & Commerce",Transit Operator,54878.03
Public Protection,EMT/Paramedic/Firefighter,142087.95
"Public Works, Transportation & Commerce",Transit Operator,110172.84
Human Welfare & Neighborhood Development,HSA Social Worker,115196.07
"Public Works, Transportation & Commerce",Transit Operator,132190.46
"Public Works, Transportation & Commerce",Transit Supervisor,50419.2
"Public Works, Transportation & Commerce",Switch Repairer,127804.85
"Public Works, Transportation & Commerce",Stationary Engineer,124611.64
"Public Works, Transportation & Commerce",Track Maintenance Worker,137242.22
Public Protection,Police Officer 3,173201.2
"Public Works, Transportation & Commerce",Engineer/Architect Principal,258542.64
Culture & Recreation,Pool Lifeguard,17375.88
"Public Works, Transportation & Commerce",Transit Operator,95310.01
Community Health,Registered Nurse,182458.18
Human Welfare & Neighborhood Development,Principal Environ Specialist,162257.08
Culture & Recreation,Recreation Specialist,76279.97
"Public Works, Transportation & Commerce",Senior Clerk,75904.53
"Public Works, Transportation & Commerce",Stationary Engineer,191022.01
"Public Works, Transportation & Commerce",Transit Operator,142260.24
Culture & Recreation,Librarian 3,145136.48
Public Protection,Deputy Court Clerk II,100894.31
Culture & Recreation,Park Patrol Officer,107610.5
Public Protection,Firefighter,145988.06
Community Health,IS Business Analyst-Senior,156440.39
"Public Works, Transportation & Commerce","Chf Stationary Eng, Sew Plant",168850.05
Community Health,Supervising Pharmacist,229555.36
"Public Works, Transportation & Commerce",Senior Administrative Analyst,58321.07
"Public Works, Transportation & Commerce",Manager VII,264966.72
"Public Works, Transportation & Commerce",Contract Compliance Officer 2,168712.57
"Public Works, Transportation & Commerce",Train Controller,82384.99
"Public Works, Transportation & Commerce",Pr Administrative Analyst,163757.06
Culture & Recreation,Assistant Cook,18062.89
Community Health,Registered Nurse,181190.87
Human Welfare & Neighborhood Development,Clerk,83056.96
"Public Works, Transportation & Commerce",Plumbing Inspector,164862.25
Public Protection,Incident Support Specialist,219259.54
Public Protection,Firefighter,20508.97
"Public Works, Transportation & Commerce",Truck Driver,149743.66
"Public Works, Transportation & Commerce",Transit Operator,84018.14
Community Health,Health Program Coordinator 2,28534.74
"Public Works, Transportation & Commerce","Manager V, MTA",206658.08
Public Protection,Deputy Court Clerk I,74654.59
Human Welfare & Neighborhood Development,Sr Community Devl Spc 1,74572.67
Public Protection,Community Police Services Aide,92585.62
Community Health,Special Nurse,196733.78
Culture & Recreation,Library Technical Assistant 2,117359.25
"Public Works, Transportation & Commerce",Transit Operator,12511.6
"Public Works, Transportation & Commerce",Program Support Analyst,145444.37
"Public Works, Transportation & Commerce",Junior Engineer,113118.4
"Public Works, Transportation & Commerce","Manager III, MTA",183398.69
"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,239015.7
"Public Works, Transportation & Commerce",Transit Operator,129061.82
"Public Works, Transportation & Commerce",Automotive Mechanic,135580.67
"Public Works, Transportation & Commerce",Utility Analyst,48172.86
"Public Works, Transportation & Commerce",Senior Clerk,25983.25
Community Health,Medical Evaluations Assistant,41261.42
"Public Works, Transportation & Commerce",Street Inspector,118541.05
Community Health,Registered Nurse,180649.15
Public Protection,"Insp, Fire Dept",234655.11
Public Protection,"Counselor, Family Court Svc",159391.23
"Public Works, Transportation & Commerce","Sr Stationary Eng, Sew Plant",155353.39
Community Health,Health Worker 3,19265.57
General Administration & Finance,Cashier 2,90216.42
Public Protection,Police Officer,17663.5
Public Protection,Police Officer,31965.98
Public Protection,Firefighter,183090.51
Human Welfare & Neighborhood Development,Child Support Officer II,114648.31
Community Health,Medical Social Worker,24273.55
Public Protection,Legal Assistant,36151.87
Culture & Recreation,Senior Management Assistant,123951.16
"Public Works, Transportation & Commerce",Trans Safety Specialist,197532.08
"Public Works, Transportation & Commerce",Transit Fare Inspector,115996.19
Human Welfare & Neighborhood Development,Program Support Analyst,140591.13
Community Health,Patient Care Assistant,67220.98
Public Protection,EMT/Paramedic/Firefighter,160796.31
"Public Works, Transportation & Commerce",Carpenter,36790.33
General Administration & Finance,Clerk,82952.2
Culture & Recreation,Senior Administrative Analyst,143831.65
"Public Works, Transportation & Commerce",Assoc Engineer,145379.25
Community Health,Special Nurse,82274.39
Human Welfare & Neighborhood Development,Senior Eligibility Worker,102065.27
Community Health,Diagnostic Imaging Tech IV,163289.41
General Administration & Finance,IS Business Analyst-Senior,42416.75
Public Protection,Community Police Services Aide,116189.63
Community Health,Sr Environmental Hlth Insp,173775.76
"Public Works, Transportation & Commerce",IS Engineer-Principal,217572.78
"Public Works, Transportation & Commerce",Sewer Maintenance Worker,110637.72
"Public Works, Transportation & Commerce",Truck Driver,121297.34
"Public Works, Transportation & Commerce",Automotive Mechanic,138353.48
"Public Works, Transportation & Commerce",Transit Operator,102492.04
"Public Works, Transportation & Commerce",IS Business Analyst,55357.14
"Public Works, Transportation & Commerce",Accountant Intern,37145.35
"Public Works, Transportation & Commerce",Junior Engineer,108982.6
Public Protection,Police Officer 3,181578.56
Culture & Recreation,Museum Guard,18815.54
"Public Works, Transportation & Commerce",Clerk,74700.67
"Public Works, Transportation & Commerce",Stdntdsgn Train2/Arch/Eng/Plng,13597.33
Community Health,Licensed Vocational Nurse,92097.74
Public Protection,Deputy Sheriff (SFERS),31283.21
General Administration & Finance,Planner 2,82901.7
Community Health,Project Manager 2,109985.03
"Public Works, Transportation & Commerce",Transit Supervisor,53030.97
Community Health,Senior Physician Specialist,202438.74
Public Protection,Police Officer,38006.04
"Public Works, Transportation & Commerce",Transit Operator,10256.63
"Public Works, Transportation & Commerce",Senior Clerk,86902.85
Community Health,Health Worker 2,61786.76
Community Health,Registered Nurse,176630.91
"Public Works, Transportation & Commerce",Principal Clerk,29276.6
Public Protection,"Director, Human Resources",193399.91
"Public Works, Transportation & Commerce",Transit Supervisor,55022.38
Public Protection,Police Officer 3,184364.33
General Administration & Finance,Principal Clerk,94746.38
Community Health,Special Nurse,65403.78
"Public Works, Transportation & Commerce",Airport Safety Officer,169540.72
"Public Works, Transportation & Commerce",Assoc Engineer,160558.94
General Administration & Finance,Personnel Technician,12379.31
"Public Works, Transportation & Commerce",Transit Operator,112860.92
"Public Works, Transportation & Commerce",Public Service Trainee,13036.95
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,27733.15
"Public Works, Transportation & Commerce",Junior Engineer,123742.98
"Public Works, Transportation & Commerce",Custodian,67371.79
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,16515.86
Public Protection,Police Officer,126446.68
"Public Works, Transportation & Commerce",Apprentice Gardener,57132.61
"Public Works, Transportation & Commerce",General Laborer,106457.39
"Public Works, Transportation & Commerce",Transit Operator,83432.73
Public Protection,Executive Secretary 2,117458.99
"Public Works, Transportation & Commerce",Manager III,194470.45
Community Health,Pharmacy Technician,57860.03
Culture & Recreation,Library Page,39650.06
Public Protection,Police Officer 3,190820.11
Public Protection,Firefighter,194852.36
"Public Works, Transportation & Commerce",Painter,120059.19
General Administration & Finance,IS Engineer-Assistant,26179.4
General Administration & Finance,Manager VII,249572.78
Community Health,Registered Nurse,163504.77
"Public Works, Transportation & Commerce",Pr Administrative Analyst,158346.4
Public Protection,Deputy Sheriff,173629.53
Community Health,Special Nurse,17481.49
Public Protection,District Attry's Investigator,17171.64
Community Health,Medical Evaluations Assistant,52360.15
Culture & Recreation,Pool Lifeguard,23378.35
Community Health,Public Health Nurse,216123.21
"Public Works, Transportation & Commerce",Materials Testing Technician,108196.5
"Public Works, Transportation & Commerce",Assoc Engineer,125501.13
General Administration & Finance,Senior Collections Officer,109813.47
"Public Works, Transportation & Commerce",Transit Operator,106740.44
"Public Works, Transportation & Commerce",Transit Operator,104588.4
"Public Works, Transportation & Commerce",Communications Dispatcher 1,89293.44
Human Welfare & Neighborhood Development,Social Work Supervisor,127418.46
General Administration & Finance,Custodian,85550.28
Public Protection,Clerk Typist,85432.85
General Administration & Finance,Special Assistant 3,79288.0
Human Welfare & Neighborhood Development,HSA Social Worker,90162.64
"Public Works, Transportation & Commerce",Fare Collections Receiver,94583.71
Human Welfare & Neighborhood Development,Protective Services Worker,98296.18
"Public Works, Transportation & Commerce",Publ Svc Aide-Asst To Prof,10004.19
"Public Works, Transportation & Commerce","Manager II, MTA",58110.08
"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",160694.02
Public Protection,Firefighter,211789.33
Public Protection,"Lieutenant, Fire Suppression",277657.69
"Public Works, Transportation & Commerce",Transit Operator,119653.93
Community Health,Nurse Practitioner,248101.76
Public Protection,"Lieutenant, Fire Suppression",198291.1
"Public Works, Transportation & Commerce",Dep Dir III,259757.33
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,210107.97
Culture & Recreation,Custodian,91024.62
Culture & Recreation,Recreation Leader,11007.8
"Public Works, Transportation & Commerce",Automotive Body & Fender Wrk,76236.37
"Public Works, Transportation & Commerce",Custodian,84844.72
Community Health,Special Nurse,96365.53
Community Health,Registered Nurse,186023.31
"Public Works, Transportation & Commerce",Executive Secretary 3,126555.33
"Public Works, Transportation & Commerce",Custodian,96797.68
Human Welfare & Neighborhood Development,Child Support Officer II,12635.05
Community Health,Special Nurse,52469.69
"Public Works, Transportation & Commerce",Manager VII,262586.97
Public Protection,Police Officer 3,192121.22
Public Protection,Police Officer,61969.2
"Public Works, Transportation & Commerce",Building Inspector,165999.93
Culture & Recreation,Executive Secretary 2,117315.71
"Public Works, Transportation & Commerce",Transit Operator,39069.89
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",19407.36
Human Welfare & Neighborhood Development,Senior Account Clerk,80495.57
"Public Works, Transportation & Commerce",Public Svc Aide-Public Works,49526.93
"Public Works, Transportation & Commerce","Manager IV, MTA",204658.55
"Public Works, Transportation & Commerce",IS Engineer-Senior,182368.3
"Public Works, Transportation & Commerce",Survey Assistant I,73521.46
Public Protection,Firefighter,207871.84
"Public Works, Transportation & Commerce",Sewer Repair Supervisor,131807.86
"Public Works, Transportation & Commerce",Assistant Const Inspector,121115.87
Community Health,PS Aide Health Services,23947.34
General Administration & Finance,Planner 2,69608.15
"Public Works, Transportation & Commerce",IS Engineer-Senior,171026.95
"Public Works, Transportation & Commerce",Utility Plumber Supervisor 1,174519.61
Community Health,Special Nurse,116482.2
Community Health,Health Worker 4,111122.12
Culture & Recreation,Librarian 1,121312.28
General Administration & Finance,IS Engineer-Senior,183475.87
General Administration & Finance,Real Property Appraiser,126891.13
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,18434.63
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,132241.31
"Public Works, Transportation & Commerce",Transit Operator,76379.53
"Public Works, Transportation & Commerce",PS Aide To Prof,19244.33
Human Welfare & Neighborhood Development,Eligibility Worker,10160.77
Public Protection,Firefighter,200826.68
Community Health,Licensed Vocational Nurse,82833.1
General Administration & Finance,Mayoral Staff XI,28968.66
"Public Works, Transportation & Commerce",Glazier,128333.64
Community Health,Health Care Billing Clerk 2,104169.51
Community Health,Medical Records Clerk,46673.07
"Public Works, Transportation & Commerce",Senior Personnel Clerk,30294.32
"Public Works, Transportation & Commerce",Building Inspector,162186.83
Culture & Recreation,Recreation Coordinator,93777.96
"Public Works, Transportation & Commerce",Airport Communications Disp,125991.47
Community Health,"Marriage, Family & Child Cnslr",132846.0
Public Protection,Lieutenant 3,67531.25
Community Health,Special Nurse,65412.83
Community Health,Special Nurse,33270.03
Community Health,Registered Nurse,181808.58
"Public Works, Transportation & Commerce",General Laborer,20905.33
General Administration & Finance,Assistant Chief Attorney 1,275483.98
Public Protection,Assistant Chief Attorney 1,275521.86
"Public Works, Transportation & Commerce",Transit Operator,102175.92
Community Health,Patient Care Assistant,106646.2
"Public Works, Transportation & Commerce",Transit Operator,12753.46
Culture & Recreation,Nursery Specialist,116998.96
"Public Works, Transportation & Commerce",Junior Administrative Analyst,81802.4
"Public Works, Transportation & Commerce",Custodial Assistant Supervisor,96918.32
Public Protection,Sergeant 3,260337.02
"Public Works, Transportation & Commerce",Water Qualitytech I/II,16711.84
General Administration & Finance,Senior Personnel Analyst,130981.06
"Public Works, Transportation & Commerce",Transit Operator,116570.13
General Administration & Finance,Senior Clerk Typist,59945.21
"Public Works, Transportation & Commerce",Assoc Engineer,162514.64
"Public Works, Transportation & Commerce",Engineer,181953.95
"Public Works, Transportation & Commerce",Transit Car Cleaner,137794.23
Public Protection,Court Commissioner,253035.78
Community Health,Porter,55615.88
Public Protection,Firefighter,217078.4
"Public Works, Transportation & Commerce",Painter,138781.77
Public Protection,"Insp, Fire Dept",278210.78
"Public Works, Transportation & Commerce",Transit Operator,120701.05
Community Health,Nursing Assistant,111270.95
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,18737.73
Public Protection,"Counselor, Juvenile Hall",108405.39
Human Welfare & Neighborhood Development,Senior Eligibility Worker,145904.55
Community Health,Nurse Practitioner,173479.74
"Public Works, Transportation & Commerce",Transit Operator,18654.71
"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",154628.28
General Administration & Finance,Manager II,192896.83
Community Health,Pharmacist,203715.31
Culture & Recreation,Recreation Leader,14588.5
Public Protection,"Captain, Fire Suppression",224080.71
Human Welfare & Neighborhood Development,Environmental Spec,122854.94
Culture & Recreation,Arborist Technician,119074.57
"Public Works, Transportation & Commerce",Sprv Electronic Main Tech,176363.13
General Administration & Finance,Senior Clerk,57592.01
Community Health,Nurse Midwife,12674.86
Public Protection,Deputy Sheriff,173132.11
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,15086.55
Public Protection,Attorney (Civil/Criminal),209061.55
"Public Works, Transportation & Commerce",Transit Operator,89476.0
Human Welfare & Neighborhood Development,Public Service Trainee,16208.83
"Public Works, Transportation & Commerce",Meter Reader,88656.94
Public Protection,Police Officer 2,173295.4
Public Protection,Sheriff's Sergeant,200115.64
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,15315.7
Public Protection,Police Officer 3,269382.26
Community Health,Registered Nurse,69146.2
General Administration & Finance,Custodial Assistant Supervisor,87214.67
Community Health,Special Nurse,11466.3
Community Health,Patient Care Assistant,79362.68
Public Protection,Attorney (Civil/Criminal),157791.81
General Administration & Finance,Management Assistant,108095.48
